date,home_team,away_team,home_xg,away_xg
2018-06-14,Russia,Saudi Arabia,1.2816009420000003,0.24880649999999999
2018-06-15,Egypt,Uruguay,0.364488455,1.9408185929999995
2018-06-15,Morocco,Iran,1.0591950264999999,0.6975558777
2018-06-15,Portugal,Spain,1.4345957889999998,1.6609466705
2018-06-16,Argentina,Iceland,2.0805182487,1.0321244945
2018-06-16,Croatia,Nigeria,1.6944666339999996,0.7623215977000002
2018-06-16,France,Australia,1.561557064,0.980031062
2018-06-16,Peru,Denmark,1.9263781919999998,1.1215676380000001
2018-06-17,Brazil,Switzerland,1.8665897939999998,0.4721066513
2018-06-17,Costa Rica,Serbia,0.5960217237,1.9925690040000001
2018-06-17,Germany,Mexico,2.2992588492,0.9932887670000001
2018-06-18,Belgium,Panama,1.212055155,0.62535498
2018-06-18,Sweden,South Korea,2.015124456,0.414372021
2018-06-18,Tunisia,England,0.945653212,2.626449744999999
2018-06-19,Colombia,Japan,0.8062560289999999,2.32067396
2018-06-19,Poland,Senegal,1.042323384,1.4277506340000001
2018-06-19,Russia,Egypt,0.9811507970000001,1.697518253
2018-06-20,Iran,Spain,0.426459236,2.1969543835000005
2018-06-20,Portugal,Morocco,0.8849862430000001,1.4551028735
2018-06-20,Uruguay,Saudi Arabia,1.8073869310000001,0.2734858323
2018-06-21,Argentina,Croatia,1.2180579430000003,1.8317100519999998
2018-06-21,Denmark,Australia,1.014444774,1.412191891
2018-06-21,France,Peru,1.862419556,0.625221235
2018-06-22,Brazil,Costa Rica,3.0963627985,0.158693415
2018-06-22,Nigeria,Iceland,1.3121593260000002,1.552161967
2018-06-22,Serbia,Switzerland,1.153485278,1.5573086895
2018-06-23,Belgium,Tunisia,5.336422204999999,1.1881780826
2018-06-23,Germany,Sweden,1.318084832,0.8151666949999999
2018-06-23,South Korea,Mexico,0.8217932520000001,1.87755172
2018-06-24,England,Panama,3.168321031,1.0800387518
2018-06-24,Japan,Senegal,0.982192996,1.8782642929999998
2018-06-24,Poland,Colombia,1.114197838,1.3869427573000002
2018-06-25,Iran,Portugal,1.5769696039999999,1.5224178248
2018-06-25,Saudi Arabia,Egypt,2.545815476,0.92372594
2018-06-25,Spain,Morocco,2.6044931,1.071760675
2018-06-25,Uruguay,Russia,2.4825809298,0.180184531
2018-06-26,Australia,Peru,1.6292696250000003,0.3363750876
2018-06-26,Denmark,France,0.13895808480000002,0.41814049500000006
2018-06-26,Iceland,Croatia,2.1326869015,0.673928797
2018-06-26,Nigeria,Argentina,1.305345181,0.8505598590000001
2018-06-27,Mexico,Sweden,1.6107035277000001,2.7904868150000004
2018-06-27,Serbia,Brazil,0.9483194610000001,1.419809182
2018-06-27,South Korea,Germany,1.774630282,2.706400562
2018-06-27,Switzerland,Costa Rica,1.2196792517,1.576212685
2018-06-28,England,Belgium,1.2006863693,0.9653343229999999
2018-06-28,Japan,Poland,0.8906295785,1.040714051
2018-06-28,Panama,Tunisia,0.6907955865000001,2.8524550040000003
2018-06-28,Senegal,Colombia,0.360865074,0.28486186999999996
2018-06-30,France,Argentina,1.638027032,1.446559447
2018-06-30,Uruguay,Portugal,0.47600794099999993,0.9955767280999999
2018-07-01,Croatia,Denmark,2.1702355979999997,0.696494755
2018-07-01,Spain,Russia,1.4411031539999999,1.406426809
2018-07-02,Belgium,Japan,2.917831719499999,0.6937694522000001
2018-07-02,Brazil,Mexico,3.320421268,0.5827998199999999
2018-07-03,Colombia,England,0.8311502155,2.2442898479999998
2018-07-03,Sweden,Switzerland,0.910466011,0.5329880485
2018-07-06,Brazil,Belgium,2.6091956661999998,0.40525613299999996
2018-07-06,Uruguay,France,0.693195278,0.5387829577000001
2018-07-07,Russia,Croatia,1.070939122,1.650474576
2018-07-07,Sweden,England,0.8341866389999999,0.75823599
2018-07-10,France,Belgium,1.681686764,0.5668682939999999
2018-07-11,Croatia,England,2.1413194335,0.5466641000000001
