date,team,rank,points
1993-08-08,Germany,1,0.0
1993-08-08,Italy,2,0.0
1993-08-08,Switzerland,3,0.0
1993-08-08,Sweden,4,0.0
1993-08-08,Argentina,5,0.0
1993-08-08,Republic of Ireland,6,0.0
1993-08-08,Russia,7,0.0
1993-08-08,Brazil,8,0.0
1993-08-08,Norway,9,0.0
1993-08-08,Denmark,10,0.0
1993-08-08,England,11,0.0
1993-08-08,France,12,0.0
1993-08-08,Spain,13,0.0
1993-08-08,Mexico,14,0.0
1993-08-08,RCS,15,0.0
1993-08-08,Netherlands,16,0.0
1993-08-08,Nigeria,17,0.0
1993-08-08,Belgium,18,0.0
1993-08-08,Colombia,19,0.0
1993-08-08,Poland,20,0.0
1993-08-08,Romania,21,0.0
1993-08-08,Uruguay,22,0.0
1993-08-08,Portugal,23,0.0
1993-08-08,Cameroon,24,0.0
1993-08-08,Zambia,25,0.0
1993-08-08,Egypt,26,0.0
1993-08-08,Wales,27,0.0
1993-08-08,United States,28,0.0
1993-08-08,Ivory Coast,29,0.0
1993-08-08,Scotland,30,0.0
1993-08-08,Tunisia,31,0.0
1993-08-08,Greece,32,0.0
1993-08-08,Morocco,33,0.0
1993-08-08,Algeria,34,0.0
1993-08-08,Ecuador,35,0.0
1993-08-08,South Korea,36,0.0
1993-08-08,Bulgaria,37,0.0
1993-08-08,Austria,38,0.0
1993-08-08,Costa Rica,39,0.0
1993-08-08,Northern Ireland,40,0.0
1993-08-08,Honduras,41,0.0
1993-08-08,Hungary,42,0.0
1993-08-08,Japan,43,0.0
1993-08-08,Saudi Arabia,44,0.0
1993-08-08,China PR,45,0.0
1993-08-08,Canada,46,0.0
1993-08-08,Finland,47,0.0
1993-08-08,Ghana,48,0.0
1993-08-08,Chile,49,0.0
1993-08-08,Zimbabwe,50,0.0
1993-08-08,Qatar,51,0.0
1993-08-08,Australia,52,0.0
1993-08-08,Iceland,53,0.0
1993-08-08,Iran,54,0.0
1993-08-08,United Arab Emirates,55,0.0
1993-08-08,Yugoslavia,56,0.0
1993-08-08,Iraq,57,0.0
1993-08-08,Senegal,58,0.0
1993-08-08,Bolivia,59,0.0
1993-08-08,Kuwait,60,0.0
1993-08-08,Korea DPR,61,0.0
1993-08-08,El Salvador,62,0.0
1993-08-08,Turkey,63,0.0
1993-08-08,Gabon,64,0.0
1993-08-08,Guinea,65,0.0
1993-08-08,Thailand,66,0.0
1993-08-08,Paraguay,67,0.0
1993-08-08,Malawi,68,0.0
1993-08-08,Israel,69,0.0
1993-08-08,Peru,70,0.0
1993-08-08,Zaire,71,0.0
1993-08-08,Cyprus,72,0.0
1993-08-08,Singapore,73,0.0
1993-08-08,Mali,74,0.0
1993-08-08,Malaysia,75,0.0
1993-08-08,Bermuda,76,0.0
1993-08-08,Niger,77,0.0
1993-08-08,Syria,78,0.0
1993-08-08,Bahrain,79,0.0
1993-08-08,New Zealand,80,0.0
1993-08-08,Madagascar,81,0.0
1993-08-08,Malta,82,0.0
1993-08-08,Jamaica,83,0.0
1993-08-08,Lithuania,84,0.0
1993-08-08,Trinidad and Tobago,85,0.0
1993-08-08,Sierra Leone,86,0.0
1993-08-08,Jordan,87,0.0
1993-08-08,Kenya,88,0.0
1993-08-08,Latvia,89,0.0
1993-08-08,Yemen,90,0.0
1993-08-08,Tanzania,91,0.0
1993-08-08,Albania,92,0.0
1993-08-08,Angola,93,0.0
1993-08-08,Venezuela,94,0.0
1993-08-08,Ethiopia,95,0.0
1993-08-08,Burundi,96,0.0
1993-08-08,Oman,97,0.0
1993-08-08,Indonesia,98,0.0
1993-08-08,Liberia,99,0.0
1993-08-08,Mozambique,100,0.0
1993-08-08,Puerto Rico,101,0.0
1993-08-08,Swaziland,102,0.0
1993-08-08,Hong Kong,103,0.0
1993-08-08,Uganda,104,0.0
1993-08-08,Barbados,105,0.0
1993-08-08,Myanmar,106,0.0
1993-08-08,Congo,107,0.0
1993-08-08,Lebanon,108,0.0
1993-08-08,South Africa,109,0.0
1993-08-08,Luxembourg,110,0.0
1993-08-08,Faroe Islands,111,0.0
1993-08-08,Guatemala,112,0.0
1993-08-08,Burkina Faso,113,0.0
1993-08-08,Togo,114,0.0
1993-08-08,Suriname,115,0.0
1993-08-08,Fiji,116,0.0
1993-08-08,Croatia,117,0.0
1993-08-08,Estonia,118,0.0
1993-08-08,San Marino,119,0.0
1993-08-08,Bangladesh,120,0.0
1993-08-08,St Vincent and the Grenadines,121,0.0
1993-08-08,Netherlands Antilles,122,0.0
1993-08-08,Mauritius,123,0.0
1993-08-08,Benin,124,0.0
1993-08-08,Panama,125,0.0
1993-08-08,Sudan,126,0.0
1993-08-08,Antigua and Barbuda,127,0.0
1993-08-08,Slovenia,128,0.0
1993-08-08,India,129,0.0
