match_id,date,time,utc_offset,stage,group,home_team,away_team,home_source,away_source,venue,venue_country,neutral
1,2026-06-11,13:00,-6,group,A,Mexico,South Africa,Mexico,South Africa,Mexico City,Mexico,False
2,2026-06-11,20:00,-6,group,A,South Korea,Czech Republic,South Korea,Czech Republic,Guadalajara (Zapopan),Mexico,True
3,2026-06-12,15:00,-4,group,B,Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,Toronto,Canada,False
4,2026-06-12,18:00,-7,group,D,United States,Paraguay,United States,Paraguay,Los Angeles (Inglewood),United States,False
5,2026-06-13,12:00,-7,group,B,Qatar,Switzerland,Qatar,Switzerland,San Francisco Bay Area (Santa Clara),United States,True
6,2026-06-13,18:00,-4,group,C,Brazil,Morocco,Brazil,Morocco,New York/New Jersey (East Rutherford),United States,True
7,2026-06-13,21:00,-4,group,C,Haiti,Scotland,Haiti,Scotland,Boston (Foxborough),United States,True
8,2026-06-13,21:00,-7,group,D,Australia,Turkey,Australia,Turkey,Vancouver,Canada,True
9,2026-06-14,12:00,-5,group,E,Germany,Curaçao,Germany,Curaçao,Houston,United States,True
10,2026-06-14,15:00,-5,group,F,Netherlands,Japan,Netherlands,Japan,Dallas (Arlington),United States,True
11,2026-06-14,19:00,-4,group,E,Ivory Coast,Ecuador,Ivory Coast,Ecuador,Philadelphia,United States,True
12,2026-06-14,20:00,-6,group,F,Sweden,Tunisia,Sweden,Tunisia,Monterrey (Guadalupe),Mexico,True
13,2026-06-15,12:00,-4,group,H,Spain,Cape Verde,Spain,Cape Verde,Atlanta,United States,True
14,2026-06-15,12:00,-7,group,G,Belgium,Egypt,Belgium,Egypt,Seattle,United States,True
15,2026-06-15,18:00,-4,group,H,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,Miami (Miami Gardens),United States,True
16,2026-06-15,18:00,-7,group,G,Iran,New Zealand,Iran,New Zealand,Los Angeles (Inglewood),United States,True
17,2026-06-16,15:00,-4,group,I,France,Senegal,France,Senegal,New York/New Jersey (East Rutherford),United States,True
18,2026-06-16,18:00,-4,group,I,Iraq,Norway,Iraq,Norway,Boston (Foxborough),United States,True
19,2026-06-16,20:00,-5,group,J,Argentina,Algeria,Argentina,Algeria,Kansas City,United States,True
20,2026-06-16,21:00,-7,group,J,Austria,Jordan,Austria,Jordan,San Francisco Bay Area (Santa Clara),United States,True
21,2026-06-17,12:00,-5,group,K,Portugal,DR Congo,Portugal,DR Congo,Houston,United States,True
22,2026-06-17,15:00,-5,group,L,England,Croatia,England,Croatia,Dallas (Arlington),United States,True
23,2026-06-17,19:00,-4,group,L,Ghana,Panama,Ghana,Panama,Toronto,Canada,True
